BUILDING_NUMBER,BUILDING_NAME_LONG,START_DATE_USE_YEAR,BUILDING_GROUP_LEVEL1,GJ,LOG_GJ
W15,MIT Chapel,2015,Non-CUP,1031.296617906119,3.0133835935015343
W15,MIT Chapel,2016,Non-CUP,866.1967001501744,2.9376165249152963
W15,MIT Chapel,2017,Non-CUP,1613.6956976428662,3.207821641108186
W15,MIT Chapel,2018,Non-CUP,1652.198784501343,3.2180622983223475
W15,MIT Chapel,2019,Non-CUP,1842.6234283315105,3.2654365887687566
W15,MIT Chapel,2020,Non-CUP,1897.1520317551033,3.2781021352675057
W15,MIT Chapel,2021,Non-CUP,1814.5172574648773,3.258761103033201
W15,MIT Chapel,2022,Non-CUP,1999.9281682801472,3.301014397324087
W15,MIT Chapel,2023,Non-CUP,2512.2887443726404,3.4000695526133873
W15,MIT Chapel,2024,Non-CUP,2025.8365160741,3.306604395105378
W16,Kresge Auditorium,2009,Non-CUP,8210.390688873376,3.914363823378252
W16,Kresge Auditorium,2010,Non-CUP,8737.136627261953,3.9413691270591342
W16,Kresge Auditorium,2011,Non-CUP,9940.467816711987,3.9974068235759552
W16,Kresge Auditorium,2012,Non-CUP,11408.857771394152,4.057242166029772
W16,Kresge Auditorium,2013,Non-CUP,10123.855532910758,4.0053459391623
W16,Kresge Auditorium,2014,Non-CUP,12906.2762565196,4.110800956865791
W16,Kresge Auditorium,2015,Non-CUP,9849.749269384987,3.993425175440914
W16,Kresge Auditorium,2016,Non-CUP,5629.082144968179,3.750437586348262
W16,Kresge Auditorium,2017,Non-CUP,21345.634783502228,4.329309074524037
W16,Kresge Auditorium,2018,Non-CUP,2857.256316893347,3.455949201537546
W16,Kresge Auditorium,2019,Non-CUP,4838.275417620917,3.684690586834556
W16,Kresge Auditorium,2020,Non-CUP,5533.081851531862,3.7429670948311218
W16,Kresge Auditorium,2021,Non-CUP,7623.415377502622,3.8821495838448814
W16,Kresge Auditorium,2022,Non-CUP,6254.870103336157,3.7962182950062417
W16,Kresge Auditorium,2023,Non-CUP,7705.202754145355,3.886784071198236
W16,Kresge Auditorium,2024,Non-CUP,9725.39205765654,3.9879071179715018
W20,Julius Adams Stratton Student Center,2009,Non-CUP,48525.5451521932,4.6859704230971735
W20,Julius Adams Stratton Student Center,2010,Non-CUP,50111.96955415905,4.699941472183578
W20,Julius Adams Stratton Student Center,2011,Non-CUP,39304.20113974641,4.594438973639956
